pC1992 pW0000 pS2005 pS2018 pS2021 cp s_set0 s_set0.02 s_set0.04 s_set0.06 s_set0.08 s_set0.1 s_set0.12 s_set0.14 s_set0.16 s_set0.18 s_set0.2 s_set0.22 s_set0.24 s_set0.26 s_set0.28 s_set0.3 s_set0.32 s_set0.34 s_set0.36 s_set0.38 s_set0.4 s_set0.42 s_set0.44 s_set0.46 s_set0.48 s_set0.5 s_set0.52 s_set0.54 s_set0.56 s_set0.58 s_set0.6 s_set0.62 s_set0.64 s_set0.66 s_set0.68 s_set0.7 s_set0.72 s_set0.74 s_set0.76 s_set0.78 s_set0.8 s_set0.82 s_set0.84 s_set0.86 s_set0.88 s_set0.9 s_set0.92 s_set0.94 s_set0.96 s_set0.98 s_set1 s_set1.02 s_set1.04 s_set1.06 s_set1.08 s_set1.1 s_set1.12 s_set1.14 s_set1.16 s_set1.18 s_set1.2 s_set1.22 s_set1.24 s_set1.26 s_set1.28 s_set1.3 s_set1.32 s_set1.34 s_set1.36 s_set1.38 s_set1.4 s_set1.42 s_set1.44 s_set1.46 s_set1.48 s_set1.5 s_set1.52 s_set1.54 s_set1.56 s_set1.58 s_set1.6 s_set1.62 s_set1.64 s_set1.66 s_set1.68 s_set1.7 s_set1.72 s_set1.74 s_set1.76 s_set1.78 s_set1.8 s_set1.82 s_set1.84 s_set1.86 s_set1.88 s_set1.9 s_set1.92 s_set1.94 s_set1.96 s_set1.98 s_set2
2 0.5 0.974025974025974 0.983870967741935 1 1 Contig104_91612 9.76838800617308 8.51294563984449 7.46214182974054 6.64220049385385 6.04970527179933 5.66070893062564 5.442194074653 5.36007300732091 5.38297583183998 5.48342892435125 5.63794226319579 5.82678355201518 6.03370870253458 6.24571711648091 6.4528431736088 6.64796403868177 6.82657255704178 6.98645725939764 7.12726657278141 7.24999232897216 7.356448823039 7.44882452418474 7.52935181147119 7.60010100877146 7.6628779589838 7.71919383053465 7.77027792920165 7.81711153788024 7.86046864532145 7.90095570516721 7.93904674443661 7.97511262336318 8.00944456201738 8.04227261352129 8.07377994651807 8.10411377764589 8.13339368826465 8.16171793088532 8.18916820141632 8.21581326168914 8.24171168676938 8.26691395570124 8.29146405354101 8.31540070197248 8.33875831100719 8.36156772615976 8.38385678832774 8.4056508221809 8.4269729904502 8.44784458771947 8.46828528250256 8.48831331437811 8.50794565640928 8.52719815546569 8.54608564191843 8.5646220318269 8.58282041058921 8.60069310571586 8.61825181309876 8.63550742634954 8.65247037407707 8.66915054319803 8.68555729714526 8.70169953060381 8.7175857024901 8.73322386532514 8.74862169189957 8.76378649954287 8.77872527243336 8.79344468201748 8.80795110578259 8.82225064469952 8.83634913922119 8.85025218413224 8.86396514232102 8.87749315752894 8.89084116649903 8.90401390967647 8.91701594181825 8.92985164167287 8.94252522064608 8.9550407317868 8.96740208240243 8.97961302260142 8.99167717740096 9.00359804109863 9.01537898307132 9.02702325503965 9.03853399580498 9.0499142369931 9.06116690822171 9.07229484121356 9.08330077409252 9.09418735561948 9.10495714898209 9.11561263551102 9.12615621807178 9.13659022440404 9.14691691021063 9.1571384620963 9.16725700038658
17 0.111111111111111 0.798701298701299 0.741935483870968 0.922222222222222 0.882352941176471 Contig1381_25801 17.0180899508718 13.9141949363341 12.4021733048918 12.3733366101622 13.6238939430808 15.8893071330737 18.8802906922484 22.3224916507063 25.9915690968893 29.7304795674714 33.4451202917182 37.0873620480949 40.6369346057894 44.0880222120673 47.4410973477358 50.6981054110899 53.8585532251513 56.9140212148616 59.8383982245859 62.573825857058 65.0314613022836 67.1476855238782 68.9505794152648 70.5234690972914 71.9357123365881 73.2282881871274 74.4250337109626 75.5415831820228 76.589443780577 77.5777008738401 78.513554098915 79.402953258303 80.2508713933627 81.0612364214602 81.8375340874063 82.5826758546395 83.2990404943001 83.9887588285659 84.6537683048338 85.2956706306483 85.9158644114073 86.5156654902278 87.0962871307304 87.658671408485 88.2040150491021 88.7330222299345 89.2464769622681 89.7451906330834 90.2299714370493 90.7012734190909 91.1600592969673 91.606548068305 92.0412852775444 92.4648422572027 92.8778668989006 93.2804673924522 93.6733967229605 94.057119776621 94.4313886018787 94.7970569356604 95.1542962584951 95.503578317392 95.8452651474295 96.1791733995245 96.5058798497297 96.8258770467791 97.1393944209828 97.4460055224749 97.7465154264103 98.0409507826198 98.3295190108235 98.612446342874 98.8904309994169 99.1626153871777 99.4297104772733 99.6918773268878 99.9503308287458 100.203076949951 100.451342719364 100.695477666669 100.935179873512 101.170873200311 101.402547064888 101.630284091498 101.854274591517 102.075567710504 102.292365145749 102.506557001504 102.716567266298 102.923321276547 103.126907037521 103.328125422655 103.525591916339 103.720134999375 103.912239715826 104.101588120497 104.288061379267 104.471594415078 104.652556373282 104.831009830595 105.007015249713
20 0.388888888888889 1 0.887096774193548 1 0.970588235294118 Contig1381_42133 14.1760266083534 12.2743343469496 11.0465792030324 10.4934323276123 10.5462424858543 11.1001445854281 12.0446746004115 13.2820734972677 14.7322680733344 16.3297281515256 18.0183770586507 19.748371623384 21.4759618933502 23.1657216893508 24.7930975683796 26.3451009672304 27.8184787483953 29.2164685846734 30.5456611658668 31.8137671358386 33.0283350037384 34.1961479205904 35.3230258558717 36.4138352969962 37.4725954213219 38.50260726591 39.5065868781622 40.4867791277579 41.4450566642504 42.3829963688331 43.3019375405876 44.2030354885807 45.0872935868417 45.9555959958173 46.8087271180949 47.6473880672224 48.4722181082642 49.2837942989872 50.0826445199884 50.8692586474628 51.6440909955003 52.4075598231571 53.1600588868161 53.9019563859056 54.6335974644274 55.3553101633834 56.0673963552074 56.7701492715133 57.4638442435619 58.1487456212613 58.8250957928935 59.4931348669094 60.1530862086988 60.8051754889908 61.4495916704834 62.0865374363757 62.7162019389011 63.3387661893187 63.954405558338 64.563281737417 65.1655563420818 65.7613831881369 66.3509097911796 66.9342784485868 67.5116271208333 68.0830858572224 68.6487877989964 69.2088460704192 69.7633849054283 70.3125182518614 70.8563575076626 71.3950100617254 71.9285877969334 72.457174898997 72.9808790220231 73.499800148403 74.0140113310787 74.5236118734099 75.0286879278819 75.5293230261072 76.0255990487003 76.5175931290908 77.0054000024558 77.4890592636824 77.9686602526456 78.4442737802669 78.9159682100083 79.383810169184 79.847869929502 80.3081994517408 80.7648659941303 81.2179294910554 81.6674483312326 82.1134794382416 82.5560783138035 82.9953009618039 83.4311963581946 83.8638179637609 84.2932161139347 84.7194404535159 85.1425378272495
30 0.416666666666667 1 0.870967741935484 1 0.970588235294118 Contig2865_102952 14.3468407424103 12.4022152110298 11.1706055436923 10.650603918313 10.7688881491367 11.4144776573854 12.470353664657 13.8327131776256 15.4164577782618 17.151908235213 18.97918739455 20.844572528877 22.7004333036739 24.5081222020145 26.2413105242809 27.8869195281377 29.4428199474789 30.9138697810805 32.3082666651591 33.6350992410729 34.903030172055 36.1197247222875 37.2916995522774 38.4243728030132 39.5222059817658 40.5888552171379 41.6273273245457 42.640105432484 43.6292615120301 44.5965410661087 45.5434239848515 46.4711893668365 47.3809455226116 48.2736695638353 49.1502275233579 50.0113905452793 50.8578655763997 51.6902840157486 52.5092253916943 53.3152270223304 54.1087879949372 54.8903616764494 55.6603789628998 56.4192410535263 57.1673223888772 57.9049823263716 58.6325412986135 59.3503198812408 60.058615245965 60.7577160680286 61.4478763677553 62.129359199302 62.8024007635053 63.4672519927602 64.1241027264036 64.7731751833008 65.4146706961101 66.0487833942701 66.6757034914409 67.2955969229363 67.9086381527956 68.5149912974646 69.1148125800412 69.7082531723323 70.2954609406479 70.8765698098111 71.4517289563221 72.0210448835599 72.5846562358837 73.1426816234481 73.6952393620907 74.2424428611207 74.7844131391348 75.3212315597942 75.8530186890737 76.3798837336057 76.9018829976633 77.4191331219414 77.9317244836173 78.4397446075273 78.943280788219 79.4424105008029 79.9372509117518 80.42781101494 80.9141994928325 81.3964911647521 81.8747570948669 82.3490668350602 82.8195024157486 83.2861001468544 83.7489392780762 84.2080822288371 84.6635897682861 85.1155211163477 85.5639339888187 86.0088902437574 86.4504332801363 86.8886224194665 87.3235099887952 87.7551486995478 88.1835846851313
31 0.0277777777777778 0.318181818181818 0.274193548387097 0.488888888888889 0.544117647058823 Contig2903_167848 16.6072172871325 13.5862316239574 12.8724234826973 14.1376959816073 17.0319027051572 21.1928424997272 26.2562980109822 31.8692269645609 37.7130115928652 43.5347622143527 49.1684833211138 54.5311190988246 59.5999735854633 64.387612730907 68.9233383264169 73.242286431094 77.3798797024955 81.3695433882267 85.241253690651 89.0210878939807 92.7301164258091 96.3853703565319 99.9987376015247 103.579407795864 107.133090558979 110.66279453881 114.173059088129 117.66348933934 121.136546593204 124.590139726044 128.025929987165 131.446289070166 134.844835399334 138.225535070658 141.587712822027 144.929576417902 148.252886342934 151.550022041779 154.828513952296 158.088206479471 161.32693593076 164.532049310049 167.721030028404 170.88592922923 174.032137608858 177.144219462713 180.225263863582 183.291960825674 186.32412615136 189.341385761051 192.339869983833 195.286501653109 198.205829445261 201.112549511964 203.977693651106 206.836913089716 209.670638271523 212.46951046138 215.219478849599 217.951801695714 220.648191043524 223.31585367256 225.955621652031 228.571354180408 231.19734910288 233.835385489244 236.364307733544 238.867102113768 241.343784025341 243.795087552539 246.221758757072 248.623078199511 251.001549555699 253.393179495866 255.723959957354 258.043094971298 260.428413228148 262.751368740121 264.989595880223 267.20700513682 269.401766594537 271.578662218598 273.734799107537 275.869717044891 277.989914259121 280.089449513094 282.176648824443 284.239496062264 286.282079110355 288.336276685189 290.344036386795 292.507365377989 294.629444875243 296.593879009788 298.538261289228 300.473586492749 302.388803197038 304.293221604449 306.183090916994 308.057324387017 309.930268942236
39 0.5 0.993506493506494 1 1 1 Contig3730_93398 8.34478011835102 7.44160727052259 6.62368211067515 5.92075489066275 5.34462717271438 4.89036352276336 4.54299549747267 4.28385694856227 4.09447787515927 3.95844759688985 3.86210077033581 3.79458774045091 3.74762331081735 3.71508232709307 3.69255376866429 3.6769248058938 3.66603107552243 3.65838287898409 3.65296131995275 3.64907177347766 3.64624109154233 3.64414666599473 3.642567988866 3.6413537868301 3.64039979692057 3.63963375496554 3.63900525113345 3.63847886294639 3.63802949480133 3.63763920471035 3.63729503528779 3.6369875248299 3.63670968030907 3.63645626552234 3.63622330487985 3.63600773447304 3.63580716087413 3.63561968045013 3.63544375893922 3.63527814056079 3.63512178226404 3.63497380753828 3.63483346893537 3.63470012229793 3.63457320711551 3.63445223109122 3.63433675836791 3.63422640032711 3.63412080832711 3.63401966789257 3.63392269403789 3.63382962740056 3.63374023108684 3.63365428801748 3.63357159869265 3.63349197929688 3.63341526006574 3.63334128387684 3.63326990502883 3.63320098816954 3.63313440735237 3.63307004520337 3.63300779217985 3.63294754591039 3.63288921060275 3.63283269651389 3.6327779194703 3.6327248004372 3.63267326510803 3.63262324362416 3.63257467013808 3.63252748259697 3.63248162245322 3.63243703441973 3.63239366623383 3.63235146849168 3.63231039440094 3.63227039964168 3.63223144219735 3.6321934822069 3.63215648182879 3.63212040511365 3.63208521788745 3.63205088764242 3.63201738343815 3.63198467580666 3.63195273666579 3.63192153923877 3.63189105797981 3.63186126850311 3.63183214751863 3.63180367277025 3.63177582297985 3.63174857779336 3.63172191773177 3.63169582414398 3.63167027916383 3.63164526566865 3.63162076724132 3.63159676813439 3.63157325323584
65 0.0555555555555556 0.649350649350649 0.516129032258065 0.533333333333333 0.705882352941177 Contig9777_21621 15.9888558395111 14.4298612827317 15.3718259179179 18.5831160100913 23.8016195662431 30.744938755816 39.1189607440764 48.6205768120016 58.9224575443518 69.6226933372968 80.1901965892857 90.114291832977 99.208164131083 107.540043458805 115.236670833397 122.418753087512 129.18903416292 135.633077679082 141.819830416439 147.801613005725 153.620225671319 159.320546398098 164.927911436779 170.417816728786 175.866840660259 181.225344548449 186.553867462344 191.798103270033 197.040878814256 202.166808874852 207.347439765654 212.313391545394 217.100661751163 221.343444067595 224.929566319452 228.154794677287 231.29962704353 234.36485734229 237.327521421665 240.265800028185 243.194930413538 245.994898587957 248.760653291363 251.537976990932 254.251939211226 256.87406057339 259.462287613847 262.038728591581 264.666002780779 267.127131479973 269.558188299493 271.952218560655 274.287741852678 276.511567048932 278.506198900921 280.129542026368 281.514719499466 282.754799474616 283.948473284997 285.147776503765 286.325926981976 287.426065372253 288.456145914421 289.469575565804 290.487386543193 291.463271817332 292.446230874253 293.443004559996 294.41335384701 295.405180333837 296.275437944888 297.132246478263 297.973107510241 298.81056026182 299.641236730069 300.468485024348 301.305769287182 302.095251601149 302.879783573365 303.648240009908 304.418487121538 305.208284035776 305.890225561242 306.587146207994 307.275473370925 307.928091339045 308.615820651032 309.272295772363 309.98076570998 310.633106767428 311.231462765062 311.873744249205 312.525477868037 313.09042672409 313.725670894716 314.342459275098 314.937014451578 315.540209435239 316.064997908817 316.622903167939 317.142004122917
92 0.222222222222222 0.383116883116883 0.5 0.611111111111111 0.632352941176471 Contig39340_1150 14.7200386229031 12.954441661619 13.6499776984569 16.5653979867864 21.4203068219333 27.9088785346156 35.7165051878005 44.5338846497108 54.0524696414191 63.9228364291098 73.6917600089301 82.8789194133561 91.2575527912911 98.8690953417024 105.831491612279 112.260152981146 118.252498662562 123.890265375012 129.238757694057 134.353297909122 139.275735519256 144.042710416982 148.68997473546 153.229786221245 157.682394759792 162.080002019968 166.380172601547 170.668879005199 174.847618491994 178.998018691998 183.127873293251 187.152260607856 191.205110320201 195.029978411178 198.615984763688 201.822092396666 204.584090671163 207.091152387725 209.495622047673 211.875399878032 214.146765766386 216.373939754516 218.568511820003 220.757501490222 222.850765266022 224.90715384628 226.936754806359 228.991836101325 230.936493395466 232.849381654319 234.733038425976 236.594493956105 238.454548917773 240.302675245728 242.06763693089 243.809580090011 245.528684265007 247.230798404197 248.917681269019 250.634920364855 252.279239733052 253.880104112334 255.465590659385 257.029574239008 258.58540926988 260.118730686156 261.654655406243 263.192539403897 264.728938848813 266.186095200363 267.629378912489 269.058790591438 270.475560427787 271.882188732504 273.276054708628 274.660615966645 276.040329815241 277.407450804706 278.775301621286 280.182718802029 281.49380867861 282.788845574164 284.07925292319 285.362210284783 286.623364442923 287.886846521005 289.143375215547 290.369143558246 291.600181366015 292.818823078722 293.973824398991 295.119014194699 296.201557823359 297.209539214914 298.138789705413 298.908505227812 299.593368109124 300.221391135801 300.809283640223 301.371391018099 301.942138082748
101 0.555555555555556 0.863636363636364 0.951612903225806 0.911111111111111 0.955882352941177 Contig43331_28378 12.9862238267391 12.1527154855688 12.1151823235335 12.81121782674 14.0931130896045 15.7699189212955 17.6539480421556 19.5940344206484 21.4867719100173 23.2710343938343 24.9169261618341 26.4158783507541 27.772822894752 28.9998831893781 30.1118050114064 31.1233056952587 32.0478942706726 32.8974860672366 33.6823545076413 34.4112316371017 35.0914472129597 35.7291182017374 36.3293135551892 36.8962544390566 37.4334477966951 37.9438336888704 38.4298933775709 38.893733783122 39.3371700006078 39.7617689067951 40.1689131570087 40.5598044518593 40.9355213905891 41.2970358942374 41.645212259998 41.980843814078 42.3046505279901 42.6172950570439 42.9193743669493 43.2114523853485 43.4940518434866 43.7676477924732 44.0326833719341 44.2895771868975 44.5387205072415 44.7804859699538 45.0152004442467 45.2432005377377 45.4647733168144 45.6802063787784 45.8897705171369 46.093719010231 46.2922903114417 46.4857115769593 46.6741931807192 46.8579443900581 47.0371450066958 47.2119830787591 47.3826297711245 47.5492491900161 47.7119961309279 47.8710183092171 48.0264581472794 48.17845410854 48.3271148840051 48.4725721689173 48.6149418982411 48.7543319283792 48.8908478066409 49.0245897532829 49.1556943994908 49.2841667451972 49.4101375714333 49.5336940499964 49.6549146396127 49.7738632230403 49.8906208042682 50.0052564452629 50.1178366811407 50.2284266031789 50.3370840078379 50.443869185982 50.5488381274301 50.6520438124232 50.7535384108979 50.853371191318 50.9516006444917 51.0482498833692 51.1433744695709 51.2370165711458 51.3292167419755 51.4200139986448 51.509445891952 51.5975485748879 51.6843568742379 51.7699078572995 51.8542265163445 51.9373478577797 52.0193019445314 52.1001177792878 52.1798242320628
125 0.444444444444444 0.987012987012987 1 1 1 Contig48098_23281 9.10249403202357 8.06632625868272 7.12923583245365 6.3234538414482 5.66123948837114 5.13662061714497 4.73286551882893 4.42933804707798 4.20562691719691 4.04349487326545 3.92760894086216 3.84565042080811 3.78809404718827 3.74781302830397 3.71961926863852 3.69981699359854 3.68581571136849 3.67581994529857 3.66859401922441 3.66329065604658 3.65932947599862 3.65631246529514 3.65396588543339 3.65210065174128 3.65058542075887 3.64932833889662 3.6482646619629 3.64734834333759 3.64654630314121 3.6458345102021 3.64519529210726 3.64461547945269 3.64408511887651 3.64359657507653 3.64314390055565 3.64272239001833 3.64232826302486 3.64195843630967 3.64161035881463 3.64128189110038 3.64097121659658 3.64067677524391 3.64039721369619 3.64013134711685 3.63987812987016 3.6396366326706 3.63940602449352 3.63918555813287 3.63897455853043 3.63877241323779 3.63857856453216 3.63839250286981 3.63821376130126 3.63804191079879 3.63787655621938 3.63771733282722 3.6375639032746 3.63741595497825 3.63727319777865 3.6371353619147 3.63700219620801 3.63687346645151 3.6367489539693 3.63662845432815 3.63651177617747 3.63639874020656 3.63628917820064 3.63618293218793 3.63607985366429 3.63597980289011 3.63588264821339 3.6357882656248 3.63569653801362 3.63560735481534 3.63552061153235 3.63543620932082 3.63535405461209 3.63527405874348 3.63519613771665 3.63512021179727 3.63504620529003 3.6349740462905 3.63490366644458 3.6348350007318 3.63476798726395 3.63470256709684 3.63463868406415 3.63457628460533 3.63451531762261 3.63445573433925 3.63439748816951 3.63434053459638 3.63428483105853 3.63423033684321 3.6341770129879 3.63412482218616 3.63407372870146 3.6340236982847 3.63397469809799 3.63392669664231 3.63387966369078
