pC1992 pW0000 pS2005 pS2018 pS2021 cp
0.861111111111111 0.811688311688312 0.919354838709677 0.8 0.764705882352941 Contig104_63408
0.416666666666667 0.188311688311688 0.532258064516129 0.411111111111111 0.529411764705882 Contig104_65970
0.833333333333333 0.590909090909091 0.82258064516129 0.888888888888889 0.794117647058823 Contig107_106346
0.111111111111111 0.11038961038961 0 0.0333333333333333 0.0294117647058824 Contig113_58331
0.361111111111111 0.0779220779220779 0.306451612903226 0.155555555555556 0.117647058823529 Contig207_2594
0.0833333333333333 0.246753246753247 0.241935483870968 0.211111111111111 0.264705882352941 Contig315_106358
0.25 0.24025974025974 0.241935483870968 0.3 0.352941176470588 Contig381_6522
0.416666666666667 0.428571428571429 0.241935483870968 0.255555555555556 0.323529411764706 Contig418_86734
0.111111111111111 0.123376623376623 0.467741935483871 0.411111111111111 0.323529411764706 Contig441_107025
0 0.0584415584415584 0.209677419354839 0.155555555555556 0.147058823529412 Contig508_48212
0.25 0.214285714285714 0.370967741935484 0.366666666666667 0.352941176470588 Contig577_243783
0.416666666666667 0.292207792207792 0.290322580645161 0.166666666666667 0.0735294117647059 Contig594_73160
0.277777777777778 0.253246753246753 0.0967741935483871 0.144444444444444 0.205882352941176 Contig743_25977
0.194444444444444 0.207792207792208 0.387096774193548 0.366666666666667 0.352941176470588 Contig808_45928
0.0277777777777778 0.051948051948052 0 0 0 Contig1069_129968
0.111111111111111 0.0974025974025974 0.209677419354839 0.188888888888889 0.132352941176471 Contig1073_86733
0.277777777777778 0.785714285714286 0.5 0.444444444444444 0.617647058823529 Contig1114_5001
0.0277777777777778 0.012987012987013 0.0483870967741935 0.0555555555555556 0.0588235294117647 Contig1185_32514
0.361111111111111 0.441558441558442 0.370967741935484 0.377777777777778 0.294117647058824 Contig1754_34858
0.611111111111111 0.532467532467532 0.290322580645161 0.355555555555556 0.397058823529412 Contig1808_64936
0 0.012987012987013 0 0.0111111111111111 0.0147058823529412 Contig1822_74629
0.166666666666667 0.246753246753247 0.0806451612903226 0.166666666666667 0.176470588235294 Contig2087_27664
0.0555555555555556 0.0909090909090909 0.032258064516129 0.0444444444444444 0.0147058823529412 Contig2094_128306
0.25 0.668831168831169 0.516129032258065 0.622222222222222 0.632352941176471 Contig2357_107294
0.25 0.0649350649350649 0.290322580645161 0.255555555555556 0.205882352941176 Contig2673_6032
0.0555555555555556 0.227272727272727 0.451612903225806 0.177777777777778 0.294117647058824 Contig2697_108147
0 0.0584415584415584 0.17741935483871 0.0555555555555556 0.117647058823529 Contig2822_10797
0.138888888888889 0.136363636363636 0.258064516129032 0.155555555555556 0.132352941176471 Contig2822_17429
0.25 0.272727272727273 0.370967741935484 0.444444444444444 0.485294117647059 Contig2848_19073
0.166666666666667 0.0844155844155844 0 0 0.0294117647058824 Contig2926_52759
0.0555555555555556 0.038961038961039 0.0806451612903226 0.0444444444444444 0.0147058823529412 Contig3222_64356
0.222222222222222 0.0584415584415584 0.112903225806452 0.0666666666666667 0.0735294117647059 Contig3229_71802
0.0833333333333333 0.305194805194805 0.129032258064516 0.244444444444444 0.235294117647059 Contig3229_97688
0.277777777777778 0.11038961038961 0.435483870967742 0.433333333333333 0.308823529411765 Contig3562_74841
0.916666666666667 0.974025974025974 1 0.988888888888889 1 Contig3632_52837
0.944444444444444 0.941558441558442 0.919354838709677 0.866666666666667 0.955882352941177 Contig3667_70256
0.5 0.220779220779221 0.032258064516129 0.0444444444444444 0.102941176470588 Contig3754_57873
0.333333333333333 0.0844155844155844 0.112903225806452 0.0888888888888889 0.102941176470588 Contig3781_44387
0.138888888888889 0.149350649350649 0.112903225806452 0.0777777777777778 0.0735294117647059 Contig3836_58788
0 0.188311688311688 0.032258064516129 0.0333333333333333 0 Contig3873_30213
0.0555555555555556 0.214285714285714 0.0967741935483871 0.0888888888888889 0.0588235294117647 Contig3873_45822
0.416666666666667 0.5 0.596774193548387 0.544444444444444 0.5 Contig4014_17676
0.166666666666667 0.220779220779221 0.17741935483871 0.144444444444444 0.102941176470588 Contig4014_67692
0.333333333333333 0.168831168831169 0.419354838709677 0.388888888888889 0.294117647058824 Contig4238_5890
0.527777777777778 0.37012987012987 0.709677419354839 0.833333333333333 0.720588235294118 Contig4420_53135
0.166666666666667 0.545454545454545 0.0806451612903226 0.122222222222222 0.0735294117647059 Contig4528_59090
0.0555555555555556 0.103896103896104 0.0161290322580645 0.0555555555555556 0.0588235294117647 Contig4571_93636
0.0277777777777778 0.0194805194805195 0 0.0222222222222222 0.0441176470588235 Contig4826_33331
0.0555555555555556 0.214285714285714 0 0 0 Contig4877_46027
0.638888888888889 0.467532467532468 0.532258064516129 0.488888888888889 0.617647058823529 Contig4995_16742
0 0.025974025974026 0.0645161290322581 0.155555555555556 0.176470588235294 Contig5280_74141
0.222222222222222 0.506493506493506 0.467741935483871 0.411111111111111 0.529411764705882 Contig5373_52197
0.138888888888889 0.194805194805195 0.258064516129032 0.244444444444444 0.235294117647059 Contig5607_118611
0.333333333333333 0.409090909090909 0.193548387096774 0.277777777777778 0.279411764705882 Contig5673_46496
0.388888888888889 0.493506493506494 0.370967741935484 0.355555555555556 0.279411764705882 Contig6149_34224
0.194444444444444 0.214285714285714 0.0967741935483871 0.0666666666666667 0.0588235294117647 Contig6153_12545
0.0555555555555556 0.155844155844156 0 0 0 Contig6300_43560
0.638888888888889 0.675324675324675 0.790322580645161 0.722222222222222 0.720588235294118 Contig6305_34818
0.972222222222222 0.87012987012987 1 0.911111111111111 0.911764705882353 Contig6309_26570
