cp cat fst_area fst_skerry
Contig102376_71262 MoralesEtAl 0.238047665480149 0.131262681442173
Contig102376_71875 MoralesEtAl 0.348915460705515 0.0800217746325531
Contig104_91612 MoralesEtAl 0.159158985033585 0.315068493150685
Contig105195_27159 MoralesEtAl 0.143043032953368 0.0202302504812227
Contig107182_28700 MoralesEtAl 0.296907868299685 0.25585640401582
Contig107182_34521 MoralesEtAl 0.474016459060973 0.239899530754103
Contig107639_25896 MoralesEtAl 0.165756733723919 0.0315789473684212
Contig132184_28880 MoralesEtAl 0.124616827258057 0.118696543121882
Contig1381_105481 MoralesEtAl 0.399718961181987 0.0789049919484702
Contig1381_107801 MoralesEtAl 0.240990295566855 0.256293940994905
Contig1381_25801 MoralesEtAl 0.491657214035823 0.499712075159719
Contig1381_36478 MoralesEtAl 0.192625096136407 0.0625323054708316
Contig1381_40119 MoralesEtAl 0.425966807511001 0.0633910945382758
Contig1381_42133 MoralesEtAl 0.608352344089838 0.352664005034579
Contig1381_65574 MoralesEtAl 0.219623362686907 0.0639416898316795
Contig1381_87206 MoralesEtAl 0.139412866378528 0.0120363547040038
Contig184041_7212 MoralesEtAl 0.171159428559153 -0.00166736226900156
Contig2121_55505 MoralesEtAl 0.300777122350059 -0.00016669444907485
Contig2121_58616 MoralesEtAl 0.213932705112808 0.00596477983028014
Contig2448_25569 MoralesEtAl 0.244257846076476 0.230769230769231
Contig2449_54423 MoralesEtAl 0.258656815420489 0.00932340168276016
Contig2512_26354 MoralesEtAl 0.272361753378604 0.0526892921761065
Contig270_17211 MoralesEtAl 0.127090772695546 0.0114942528735632
Contig2865_102952 MoralesEtAl 0.410677243396376 0.348645594766479
Contig2903_167848 MoralesEtAl 0.276650583127407 0.36528801038019
Contig3192_30103 MoralesEtAl 0.316415909817889 0.00261933534743194
Contig3192_5456 MoralesEtAl 0.159749945643259 0.00501945046161595
Contig3407_30736 MoralesEtAl 0.27928001684168 0.0426546190995482
Contig3730_93398 MoralesEtAl 0.315204270669433 0.282051282051282
Contig38117_31089 MoralesEtAl 0.26352318913731 0.0130947890283991
Contig38162_147740 MoralesEtAl 0.161095687332835 0.0493676050591595
Contig3823_106342 MoralesEtAl 0.279504927421959 0.102788024793596
Contig3823_128961 MoralesEtAl 0.297351056231816 0.092823302333743
Contig3823_88168 MoralesEtAl 0.272014439175459 0.122032170597949
Contig3823_88424 MoralesEtAl 0.291593275738518 0.0974085912409318
Contig3823_89148 MoralesEtAl 0.284727509200707 0.10913967402517
Contig3823_91302 MoralesEtAl 0.226727314647652 0.168117633329443
Contig3823_96225 MoralesEtAl 0.207714856174974 0.117344444703089
Contig3823_98869 MoralesEtAl 0.243339596928931 0.104400345125108
Contig3823_98944 MoralesEtAl 0.261840528690624 0.10913967402517
Contig38395_207739 MoralesEtAl 0.1747889698859 0.0145994257289602
Contig38395_58937 MoralesEtAl 0.309738521782785 0.0465116279069766
Contig38395_59535 MoralesEtAl 0.204427876043422 0.00522666666666656
Contig38395_64861 MoralesEtAl 0.200276155149375 -0.00871368141184873
Contig38403_145589 MoralesEtAl 0.227226420749961 0.0260841679496973
Contig38701_103038 MoralesEtAl 0.38789943513469 0.251533742331289
Contig38701_31333 MoralesEtAl 0.243177078583544 0.310577996093942
Contig38766_115439 MoralesEtAl 0.176686176058775 0.0176843024525142
Contig38766_160456 MoralesEtAl 0.353529707719521 0.0148731601863449
Contig38851_78160 MoralesEtAl 0.151283517311433 0.0256397899661656
Contig39102_3460 MoralesEtAl 0.0828070034934419 0.0875000000000002
Contig39960_31738 MoralesEtAl 0.289619445905567 0.103051326821141
Contig40025_3176 MoralesEtAl 0.392635257304158 -0.00162193794049864
Contig40099_79184 MoralesEtAl 0.207523818699698 0.00746268656716414
Contig40099_83676 MoralesEtAl 0.260670824828752 0.0129623089342879
Contig40623_148438 MoralesEtAl 0.220945296225892 0.000911078606254736
Contig4156_41198 MoralesEtAl 0.0663808848109828 -0.000803595183785046
Contig42961_53062 MoralesEtAl 0.113074392966493 0.019255152179299
Contig44682_31436 MoralesEtAl 0.13522972157461 0.00512820512820511
Contig44682_3948 MoralesEtAl 0.140207316584362 -0.0284858185434711
Contig45202_40660 MoralesEtAl 0.101612417355052 -0.0946969696969697
Contig45973_32520 MoralesEtAl 0.114261142803722 0.000183857326714433
Contig46636_23023 MoralesEtAl 0.289617013199048 0.218141663016839
Contig46700_8288 MoralesEtAl 0.275415269263668 0.142054599826937
Contig46803_27864 MoralesEtAl 0.389940524503024 0.109723060942573
Contig46803_29555 MoralesEtAl 0.372619829030496 0.105189340813464
Contig46803_36920 MoralesEtAl 0.239002224512723 0.19047619047619
Contig46803_4891 MoralesEtAl 0.341011249637814 0.160129029589959
Contig46850_86542 MoralesEtAl 0.431019439351586 0.258979613849639
Contig47431_3246 MoralesEtAl 0.202904881173272 0.0220540258384446
